係	亻(o)+丿(h)+𠃋(v)+小(f)｜
佢	亻(o)+匚(s)+⊐(s)｜
你	亻(o)+⺈(n)+小(f)｜
嘅	口(r)+日(a)+丶(i)+乚(u)｜
都	十(j)+日(a)+3(n)+丨(l)｜
咁	口(r)+廿(t)+一(m)｜
唔	口(r)+一(m)+一(m)+口(r)｜
就	亠(y)+小(f)+丶(i)+𠂇(k)+乚(u)｜
好	女(v)+乛(n)+丁(d)｜
既	日(a)+丶(i)+一(m)+丿一(v)+乚(u)｜
到	一(m)+土(g)+丨(l)+亅(n)｜
有	𠂇(k)+月(b)｜
呀	口(r)+一(m)+丿一(v)+丿(h)｜
個	亻(o)+囗(w)+十(j)+口(r)｜
啦	口(r)+扌(q)+亠(y)+䒑(t)｜
左	𠂇(k)+工(m)｜
地	土(g)+七(p)+𠁡(d)｜
呢	口(r)+尸(s)+匕(p)｜
的	丿(h)+日(a)+勹(p)+丶(i)｜
咗	口(r)+𠂇(k)+工(m)｜
去	土(g)+厶(i)｜
又	乛(n)+乂(k)｜
同	冂(b)+一(m)+口(r)｜
住	亻(o)+亠(y)+土(g)｜
人	人(o)｜
啲	口(r)+丿(h)+日(a)+丶(i)｜
會	人(o)+一(m)+口(w)+日(a)｜
一	一(m)｜
咩	口(r)+䒑(t)+𠀆(q)｜
話	亠(y)+口(r)+丿(h)+十(j)+口(r)｜
要	一(m)+口(w)+女(v)｜
想	木(d)+凵(u)+心(p)｜
冇	𠂇(k)+冂(b)｜
嚟	口(r)+丿(h)+丿(h)+水(e)｜
無	𠂉(o)+廿(t)+灬(f)｜
做	亻(o)+十(j)+口(r)+大(k)｜
講	亠(y)+口(r)+廿(t)+廿(t)+冂(b)｜
得	丿(h)+亻(o)+日(a)+一(m)+丶(i)｜
啊	口(r)+3(n)+丨(l)+口(r)｜
睇	月(b)+凵(u)+丷(c)+弓(n)+丿(h)｜
喺	口(r)+亻(o)+丿(h)+小(f)｜
哋	口(r)+土(g)+七(p)+𠁡(d)｜
但	亻(o)+日(a)+一(m)｜
知	𠂉(o)+大(k)+口(r)｜
了	乛(n)+亅(n)｜
上	卜(y)+一(m)｜
再	一(m)+土(g)+冂(b)｜
而	丆(m)+冂(b)+丨(l)+丨(l)｜
對	业(t)+土(g)+十丶(d)+丶(i)｜
走	土(g)+卜(y)+人(o)｜
見	月(b)+凵(u)+丿(h)+乚(u)｜
多	⺈(n)+丶(i)+⺈(n)+丶(i)｜
下	一(m)+卜(y)｜
喇	口(r)+木(d)+丨(l)+亅(n)｜
嗰	口(r)+人(o)+囗(w)+口(r)｜
隻	亻(o)+土(g)+又(e)｜
比	匕(p)+匕(p)｜
叫	口(r)+丩(v)+(l)｜
諗	亠(y)+口(r)+人(o)+丶(i)+心(p)｜
架	𠂇(k)+口(r)+木(d)｜
度	广(i)+廿(t)+又(e)｜
